math score,reading score,writing score,gender_male,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_standard,test preparation course_none
0.3701309159652094,0.16376092136377138,0.37115191608077835,False,True,False,False,False,True,False,False,False,False,True,True
0.1608311168015522,1.4583840092765625,1.3420408775321837,False,False,True,False,False,False,False,False,True,False,True,False
1.6259297109471527,1.8180015336967823,1.6887869351934,False,True,False,False,False,False,False,True,False,False,True,True
-1.3740340770652673,-0.9150916518968879,-1.7093244298865187,True,False,False,False,False,False,False,False,False,False,False,True
0.6491973148500857,0.5953019506680352,0.4405011276130216,True,False,True,False,False,False,False,False,True,False,True,True
0.30036431624399035,0.9549194750882549,0.6485487622097513,False,True,False,False,False,False,False,False,False,False,True,True
1.4863965115047144,1.8180015336967823,1.6194377236611566,False,True,False,False,False,False,False,False,True,False,True,False
-1.8624002751138007,-1.9220207202735033,-2.0560704875477347,True,True,False,False,False,False,False,False,True,False,False,True
-0.18800188180454314,-0.41162711770858024,-0.11429256464492427,True,False,False,True,False,False,True,False,False,False,False,False
-2.001933474556239,-0.6993211372447561,-1.2932291606930593,False,True,False,False,False,False,True,False,False,False,False,True
-0.6066014801318576,-1.1308621665490197,-1.1545307376285727,True,False,True,False,False,False,False,False,False,False,True,True
-1.8624002751138007,-1.2747091763171077,-1.7786736414187618,True,False,False,True,False,False,False,False,False,False,True,True
-0.11823528208332405,0.811072465320167,0.30180270454853514,False,True,False,False,False,False,True,False,False,False,True,True
0.7887305142925238,0.16376092136377138,0.09375506995180544,True,False,False,False,False,False,False,False,True,False,True,False
-1.16473427790161,-1.2027856714330638,-0.7384354684351134,False,False,False,False,False,False,False,True,False,False,True,True
0.1608311168015522,0.3795314360159032,0.6485487622097513,False,False,True,False,False,False,False,False,False,True,True,True
1.4863965115047144,1.3864605043925187,1.2033424544676972,True,False,True,False,False,False,True,False,False,False,True,True
-1.4438006767864864,-1.9939442251575472,-1.5706260068220321,True,False,True,False,False,False,False,True,False,False,False,False
-0.8856678790167338,-0.843168147012844,-0.5303878338383837,False,False,True,False,False,False,False,False,False,False,False,True
-0.04846868236210499,-0.05200959328836049,-0.39168941077389724,True,False,False,True,False,False,True,False,False,False,True,True
-0.11823528208332405,0.3795314360159032,0.09375506995180544,False,True,False,False,False,False,False,False,True,False,False,False
-1.5833338762289244,-1.1308621665490197,-1.0851815260963296,True,False,False,True,False,False,False,False,True,False,True,True
0.1608311168015522,0.23568442624781533,0.30180270454853514,False,False,True,False,False,False,False,False,False,True,True,True
0.5096641154076476,0.09183741647972742,0.7872471852742378,True,False,False,True,False,True,False,False,False,False,False,False
0.4398975156864285,0.3076079311318593,0.2324534930162919,True,False,False,False,False,False,False,True,False,False,False,True
0.1608311168015522,-1.1308621665490197,-0.9464831030318431,True,True,False,False,False,False,False,False,True,False,True,True
0.02129791735911408,-0.05200959328836049,0.4405011276130216,False,False,True,False,False,True,False,False,False,False,True,True
0.23059771652277128,0.019913911595683467,-0.25299098770941075,True,False,True,False,False,False,True,False,False,False,True,True
-0.3275350812469813,0.019913911595683467,0.4405011276130216,False,False,False,True,False,False,False,True,False,False,True,True
0.1608311168015522,0.3076079311318593,0.37115191608077835,False,False,False,True,False,False,False,False,True,False,True,True
-0.2577684815257622,-0.3397036128245363,-0.5303878338383837,False,True,False,False,False,False,False,False,True,False,True,True
-0.7461346795742957,0.16376092136377138,-0.25299098770941075,False,False,False,False,True,False,False,True,False,False,False,True
-1.8624002751138007,-1.9939442251575472,-2.1254196990799783,True,False,False,True,False,False,False,False,True,False,True,True
2.114295908995686,1.2426134946244307,0.9259456083387243,True,False,False,False,True,False,False,False,True,False,True,True
0.998030313456181,0.811072465320167,0.7178979737419946,True,False,False,False,True,False,False,False,False,False,True,False
0.5096641154076476,0.811072465320167,0.9952948198709675,False,False,False,True,False,False,False,False,False,False,True,True
-1.16473427790161,-0.41162711770858024,-0.6690862569028702,False,False,False,True,False,False,False,False,False,True,False,True
0.5794307151288666,1.4583840092765625,1.3420408775321837,False,False,False,True,False,False,False,False,False,False,False,False
-0.6763680798530766,-0.9870151567809319,-0.8077846799673566,True,True,False,False,False,False,False,False,False,False,False,True
